Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2012/01/01 01:00:00,003","7748,160500109181","878,4384876400894","1289,746813081322","652,1530539685655","8648,989315988716","2105,379142418319","4162,162309692743","849,0008921010694","26334,030515"
"2012/01/01 01:59:59,997","7559,728089361915","839,0929043755613","1294,2722447375647","643,483529604554","8553,212707898614","2047,755534323372","4070,416593214941","845,0973634834826","25853,058967000004"
"2012/01/01 03:00:00","7337,789041922671","817,9957069916575","1296,491345398227","631,9409234313649","8461,317967378278","1961,9098179628152","3946,994332430087","840,9028484848936","25295,341983999995"
"2012/01/01 04:00:00,003","7161,89553904799","814,9678834218657","1297,4172940816552","631,428520023401","8438,693856937987","1893,1482315498235","3884,9292530301623","845,4522569071124","24967,932835"
"2012/01/01 04:59:59,997","6984,460743392847","843,9525785392941","1309,534910885757","640,8925630824757","8565,433348080143","1867,358425186068","3911,610237868691","862,3693859647118","24985,612192999997"
"2012/01/01 06:00:00","6852,7473021847245","883,7085331033552","1329,677512011279","662,2377749025018","8880,412604112367","1874,075024200857","4037,1507952965135","892,3411151883962","25412,350661"
"2012/01/01 07:00:00,003","6822,569456035407","950,2285916213312","1343,9968433889028","686,680242911092","9360,457401779811","1900,1289765528077","4238,734675734076","937,0042469765672","26239,800434999997"
"2012/01/01 07:59:59,997","6687,260065321445","983,0904203966855","1363,690327355631","713,0825309437105","9763,555428463544","1961,7247452780127","4410,3695941984","983,0476070425805","26865,820719000003"
"2012/01/01 09:00:00","6855,467450329185","1023,6896061855352","1385,9771706651977","732,2027930505885","10033,068791211024","2087,5987320141735","4570,655862189105","1009,2023313551816","27697,862736999996"
"2012/01/01 10:00:00,003","7196,259305330365","1027,8472119100124","1388,0080662579383","745,1120925104686","10136,022881164841","2232,4737489989607","4714,913120731395","1008,613408096007","28449,249834999995"
"2012/01/01 10:59:59,997","7499,546027534248","1004,8814629890257","1374,3824889977147","730,9479205399026","10026,327458568436","2304,683094633407","4772,980955369319","985,2849903679544","28699,034399"
"2012/01/01 12:00:00","7693,585338825789","974,7156690288753","1362,688805557923","713,1850696056043","9879,117595264535","2307,264867453188","4765,1193214974","964,0653947666982","28659,742062000005"
"2012/01/01 13:00:00,003","7803,42580195697","956,5122544982519","1340,377882749896","699,08598390313","9714,901805665382","2317,786181528261","4721,63191796897","941,2886457291368","28495,010473999995"
"2012/01/01 13:59:59,997","7770,546997223913","936,3475096869507","1322,2465251103836","687,3115552232504","9541,329020811994","2281,7773812983746","4635,278395467534","920,5565431776112","28095,393928000005"
"2012/01/01 15:00:00","7700,107914623214","921,3116008365052","1302,3914743756195","672,2842125733919","9320,712486548118","2253,088828844238","4533,5644834117775","895,5955937871462","27599,05659500002"
"2012/01/01 16:00:00,003","7664,169908700585","910,8573280744864","1292,3812684421844","658,6734470751785","9197,464170535119","2266,590510373955","4478,013346964407","885,9990798340801","27354,149059999996"
"2012/01/01 16:59:59,997","7634,367329703819","943,4362810600899","1294,750789309397","664,8706537698208","9300,790080041103","2249,8302522179565","4511,358223617269","888,7269142805368","27488,130523999997"
"2012/01/01 18:00:00","8037,422457265971","1017,5819260375767","1327,7458335345748","714,9633566533739","10082,081182172185","2331,2287109735275","4811,812049041569","932,3112503212195","29255,14676599999"
"2012/01/01 19:00:00,003","8611,390354517336","1130,8376871465132","1411,803541966609","774,9101030762145","11154,34207122066","2582,4891111219513","5423,191424062309","1024,2863668883617","32113,250659999947"
"2012/01/01 19:59:59,997","8599,124388240862","1156,4008942574483","1447,326253692353","783,7478715687041","11328,228447554688","2612,341976171578","5565,134887832811","1047,4864476815412","32539,791166999992"
"2012/01/01 21:00:00","8531,163998489881","1163,9168519196812","1454,696742531488","791,8477777973925","11334,33007128419","2581,6342411007845","5592,439176412316","1048,1954064642548","32498,224265999994"
"2012/01/01 22:00:00,003","8401,721743405687","1156,7152253948402","1463,392555638505","786,6283761623229","11305,303362292956","2517,453715562609","5542,182219186101","1050,0541273569725","32223,45132499999"
"2012/01/01 22:59:59,997","8143,2364050958595","1114,3816781697017","1443,82015181113","765,2796842641162","10985,799242818393","2420,6699548463353","5351,986406211967","1035,6655897825037","31260,839113"
2012/01/02,"7811,347200000002","1068,5182999999997","1420,44869","737,77632","10523,9918","2286,1831","5102,039759999999","1013,5804100000003","29963,88557999999"
"2012/01/02 01:00:00,003","7499,953671041002","1021,29183130624","1385,4445680820704","721,2234166244482","10208,835371252739","2222,2316898351564","4882,124587871559","998,2639149867651","28939,36905099999"
"2012/01/02 01:59:59,997","7375,156177549048","1001,302062723185","1384,392762003517","720,4793902582325","10132,817258977704","2161,2226428700183","4797,608218020375","1003,5664225979328","28576,544935000005"
"2012/01/02 03:00:00","7327,744211024274","1005,5700035071404","1390,8888187954024","719,0505368381071","10189,425616770663","2152,7658934500396","4786,977449140168","1017,125365474217","28589,547895000003"
"2012/01/02 04:00:00,003","7375,517430336872","1020,6138179250282","1400,2612737660056","729,505502897083","10389,677476703871","2159,875098931446","4856,417926921748","1040,2736635179383","28972,14219099999"
"2012/01/02 04:59:59,997","7538,139140578014","1061,4595066606917","1421,590108801413","744,6230568172749","10777,377294798313","2261,1787729009957","5040,316636849184","1072,8281575941014","29917,51267499999"
"2012/01/02 06:00:00","7966,27410218504","1144,2137976296417","1468,3894553143098","785,8261196281261","11494,273553542009","2391,6446292002506","5424,636810082761","1128,8898774178758","31804,14834500001"
