Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2003/01/01 01:00:00,003","7314,780744038195","1036,148173544365","1045,1337828975882","923,2521296940762","8894,325898607281","1789,7280879623547","4126,710427602782","720,6146117166977","25850,69385606334"
"2003/01/01 01:59:59,997","7191,62277060957","1052,9059579793477","1057,38400948703","925,322631533284","8903,379971172777","1743,996712751594","4122,863299226563","717,8704963288535","25715,34584908902"
"2003/01/01 03:00:00","7070,10941484282","1054,4721575594228","1066,0265654188577","930,7999699267209","8956,825658629205","1705,0790750418996","4096,731053279297","714,6206165867219","25594,66451128494"
"2003/01/01 04:00:00,003","6995,856926817222","1071,3215816833067","1073,5698107616845","940,4164194100374","9051,877217704478","1686,165070177915","4072,129754069185","717,5469662999428","25608,88374692377"
"2003/01/01 04:59:59,997","7039,0067522413265","1099,778467618875","1082,572200742047","956,2713726008977","9261,293159503248","1698,2470679712742","4116,080307915528","728,9638284839039","25982,2131570771"
"2003/01/01 06:00:00","7183,70023203008","1127,734034727514","1090,0908502579239","984,2914412389837","9592,448902196518","1739,0837841282373","4239,617659756809","753,0638516778845","26710,030756013955"
"2003/01/01 07:00:00,003","7281,448835363043","1176,3710522691515","1119,299416169922","1010,1960577984304","9964,880343441884","1796,889034815938","4394,713343508255","793,1257464890106","27536,923829855634"
"2003/01/01 07:59:59,997","7107,891108154161","1198,2495002793257","1147,4885659849017","1024,6062411449882","10178,699360040499","1801,6295543474096","4455,65261673212","837,6001469115773","27751,817093594975"
"2003/01/01 09:00:00","6913,597732342607","1186,036514700505","1131,0404308687373","1021,2318227228676","10270,080473654694","1813,278066323272","4406,77130676997","832,524473130702","27574,56082051336"
"2003/01/01 10:00:00,003","6818,884402145005","1162,6475836547602","1121,7377815069235","1012,0589033109412","10175,753176214725","1841,8775481590808","4291,191564194811","829,9910160197985","27254,14197520604"
"2003/01/01 10:59:59,997","6773,043743132008","1122,766555786078","1108,881737024553","985,727190171333","9935,671872171362","1841,7410140489565","4189,092208628085","812,3492568225303","26769,273577784905"
"2003/01/01 12:00:00","6758,360694904668","1073,785924761095","1087,093224846608","946,8725541204333","9509,074798543825","1835,747331271994","4063,4401609945808","786,4719467226638","26060,84663616586"
"2003/01/01 13:00:00,003","6741,1560255726245","1023,80077325252","1068,818879295024","899,9208505068812","8994,217941598845","1793,8932873298452","3928,713457835232","752,5488200306826","25203,07003542166"
"2003/01/01 13:59:59,997","6592,497909699159","960,2304443297821","1037,012239476143","856,3513594623181","8505,761427241552","1758,3302138164047","3778,18856142959","707,8516435313904","24196,22379898634"
"2003/01/01 15:00:00","6497,028560351016","939,2994768766689","1016,3203472750153","826,7691242759752","8192,219379342128","1723,7118844063489","3680,0424673562593","673,9866991376599","23549,377939021073"
"2003/01/01 16:00:00,003","6437,5845732301","929,1674426052545","1004,5355057315774","810,3391081720326","8001,73039402491","1718,7344258030937","3627,547336406044","659,348016411218","23188,986802384225"
"2003/01/01 16:59:59,997","6469,55682793924","913,9282782554282","998,944382383355","817,3890032952928","8053,722543197236","1717,072652356505","3623,4849609078","661,4362034880533","23255,53485182291"
"2003/01/01 18:00:00","6912,719877050551","998,8371572963975","1017,8051653611398","888,6409901773195","8661,2537946292","1770,5081188800627","3799,933454217273","703,9501170163281","24753,648674628275"
"2003/01/01 19:00:00,003","7555,485880018175","1081,2085900538582","1070,441445897594","981,9178949792798","9602,90376051645","1925,7919556583445","4286,070728593085","790,490821724332","27294,311077441125"
"2003/01/01 19:59:59,997","7623,095458891295","1085,3419989359988","1068,501532736332","995,96848672466","9754,786242769886","1951,592257686714","4325,897038495111","799,0086662192093","27604,191682459204"
"2003/01/01 21:00:00","7725,138929961342","1075,6866442583678","1060,5849461307703","1004,8975189663032","9850,051914313703","1950,5927251003027","4277,059829632884","803,4611886411939","27747,473697004876"
"2003/01/01 22:00:00,003","7684,324257876925","1061,732604973904","1059,088207581197","1006,4889271928722","9717,483552278321","1909,004217116732","4199,339731751659","802,6241877197451","27440,08568649136"
"2003/01/01 22:59:59,997","7440,529900927675","1021,3952489573694","1051,3574372560597","977,2467165308702","9499,399099808608","1828,3658828611424","4064,1709041594513","776,1208272111807","26658,58601771236"
2003/01/02,"7143,673600000002","981,3266799999999","1022,0665600000002","938,7193100000002","9040,5319","1708,1063300000003","3873,8256300000007","733,1379900000002","25441,388"
"2003/01/02 01:00:00,003","7044,449368666552","1012,9941035985938","1021,277082496299","912,8152293279632","8761,62780392829","1620,8233039330837","3766,8745415371313","704,3296118820565","24845,19104536998"
"2003/01/02 01:59:59,997","6823,272806698839","1026,6340417341073","1025,6966681625538","916,3520733404323","8791,371952985042","1583,3072603164278","3747,191138811087","708,5093422598895","24622,33528430838"
"2003/01/02 03:00:00","6799,4951250200065","1039,2012118620275","1039,3366826797248","927,8650425432999","8932,9576946048","1560,5983465932495","3786,967661641472","726,3025491389369","24812,724314083523"
"2003/01/02 04:00:00,003","6813,825296196119","1062,127454768244","1058,7634624551797","948,3130241702528","9190,624968713382","1589,836521377858","3865,952131289424","745,4011031001611","25274,84396207062"
"2003/01/02 04:59:59,997","7065,962607227032","1116,5513852060851","1082,9320714366768","979,8392601407678","9678,395718825375","1639,7258055808925","4057,8086924062345","773,3722476644444","26394,58778848752"
"2003/01/02 06:00:00","7485,751866193748","1180,3961656869972","1132,0939991766622","1057,1473984107515","10634,60961022855","1791,8267660935387","4478,542768778238","844,2401158898102","28604,6086904583"
"2003/01/02 07:00:00,003","8126,194884438726","1319,5540717242802","1214,207539198318","1157,8562292321212","11916,58550078971","2009,193090406312","5089,703978347894","956,4577566946627","31789,753050832023"
"2003/01/02 07:59:59,997","8401,849726802546","1412,650577753789","1292,055414377314","1229,586605247125","12820,949789098398","2116,688430076847","5452,694929867714","1053,3968334773674","33779,8723067011"
"2003/01/02 09:00:00","8447,886130002687","1421,8764772290187","1312,8554497025088","1231,9209121266647","12793,338747639771","2145,362960094717","5440,457658721231","1056,3228343549956","33850,021169871594"
"2003/01/02 10:00:00,003","8456,098521803991","1410,0306201557598","1310,3920845503417","1216,789045192902","12630,619290421984","2173,1426857816223","5372,798925495851","1028,784411483714","33598,65558488615"
"2003/01/02 10:59:59,997","8487,124304944657","1382,507434062594","1291,2793959317498","1195,964985946344","12353,077833782032","2167,0817773564345","5248,152029234061","990,8227549890563","33116,010516246926"
"2003/01/02 12:00:00","8444,356219037638","1339,714532436475","1255,1885217951888","1153,089898062111","11900,31576869711","2130,2124457535247","5064,630014332755","941,335745685097","32228,843145799896"
"2003/01/02 13:00:00,003","8326,909136734015","1289,2347902840409","1220,234414824564","1101,0683364802876","11420,760717836522","2078,202887517551","4799,426960540284","886,8650321818105","31122,70227639908"
"2003/01/02 13:59:59,997","8148,646228393981","1252,4562061836584","1186,006471234006","1065,36267723136","10988,421659180374","2039,9985170432","4623,044632766399","847,7914254543555","30151,72781748734"
"2003/01/02 15:00:00","8007,762500495313","1210,1438631215972","1148,536610418558","1024,0884449248813","10601,44846330458","1996,6573645126523","4470,731263535842","809,0816149298868","29268,45012524332"
"2003/01/02 16:00:00,003","7983,532652074986","1174,080487948102","1120,2286896028857","994,8259407306664","10216,36608018081","1949,1623048752735","4342,113749182556","782,2234934084414","28562,53339800372"
