Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2005/01/01 01:00:00,003","7507,81073082704","850,3139878982163","998,4655004915728","741,9637784530678","7312,259820444801","1883,97945664556","3728,400884896085","692,2945033436516","23715,488662999996"
"2005/01/01 01:59:59,997","7257,549135837356","818,1432641448146","987,5328519093098","711,9965855761985","7012,466197236814","1798,2341526951525","3562,6147230296756","675,1760125706842","22823,712923000003"
"2005/01/01 03:00:00","6973,987198879906","783,3966241883325","978,5756620449139","687,8811438802135","6712,80728106561","1712,7583951076497","3373,8680489177177","659,6504529156548","21882,924807"
"2005/01/01 04:00:00,003","6794,489296264335","760,639635204419","959,4869469800856","673,4193834450974","6502,378446480101","1651,210253614088","3239,0474169261","648,5128940857713","21229,184272999995"
"2005/01/01 04:59:59,997","6685,186676739976","743,3716907597388","955,2685904180076","664,7921179558195","6440,559638612205","1627,872766184592","3176,859720466776","647,0017798628869","20940,912981"
"2005/01/01 06:00:00","6647,173503181973","744,2422963533783","956,7590598322998","672,4918653088105","6509,466993452721","1625,2210316594692","3178,015718517079","660,2110696942756","20993,581538"
"2005/01/01 07:00:00,003","6692,333757983861","766,6846843671314","975,4184707731663","689,4210074471332","6709,003811695874","1640,7859896700563","3256,2742123953753","689,5184976674033","21419,440432000003"
"2005/01/01 07:59:59,997","6607,393533605995","790,308699420955","1006,7666328645436","709,1593156455482","6962,6858969606865","1617,770449808225","3327,065404054565","714,9916856394768","21736,141617999987"
"2005/01/01 09:00:00","6738,279267672021","827,0355454318561","1003,3931220534552","731,2540997493329","7251,570423500694","1637,410418307927","3427,145770873316","717,7694524113781","22333,85809999998"
"2005/01/01 10:00:00,003","7092,183723305073","890,0028621964872","1024,432996572226","780,0829022078809","7741,561929313593","1760,3364405005318","3697,0938942140647","744,4754706901385","23730,170218999996"
"2005/01/01 10:59:59,997","7470,416600842002","940,2958554697907","1044,9304336466075","826,4358774007518","8199,444179347009","1894,9502791595264","3951,5782992926447","768,45893184167","25096,510457000004"
"2005/01/01 12:00:00","7754,767243681744","966,6080303135624","1054,1400277251057","846,1318182951002","8448,622775403626","2028,4124476189015","4134,789416587387","780,2614393745595","26013,733198999984"
"2005/01/01 13:00:00,003","7909,748507165868","977,3731824414243","1046,8042531665221","844,058940787531","8552,702465270422","2108,2978208269124","4212,381523081204","773,4239802601112","26424,790672999996"
"2005/01/01 13:59:59,997","7964,20216784951","974,4065412871688","1027,8306252907216","837,3456797810168","8499,388348446015","2165,4517830157524","4204,574834989056","755,1744713407355","26428,374451999967"
"2005/01/01 15:00:00","7942,469001011038","970,2290592168212","1000,8063305712678","824,4596702963449","8379,295865721786","2191,4670688552737","4175,02385445478","733,9762538726765","26217,727103999976"
"2005/01/01 16:00:00,003","7926,540095873743","964,6227058765216","985,3132846572106","813,9332568175798","8279,019130291223","2223,6379015393554","4141,160551745169","723,335825199209","26057,562752000005"
"2005/01/01 16:59:59,997","7953,984066109835","965,5188115299977","980,9263096251858","809,9631303938291","8219,569468878222","2219,962755633283","4122,267469222431","725,1605776072095","25997,352588999995"
"2005/01/01 18:00:00","8221,200097576406","1015,702853101158","998,4991431026531","854,688607325253","8628,081421524268","2271,954142024208","4247,693970185756","752,5474891602909","26990,367724"
"2005/01/01 19:00:00,003","8524,104112197045","1082,0480181506591","1051,113697398985","911,4881069532368","9179,38838776619","2428,275594350206","4647,94083472959","812,7308914541002","28637,089643000003"
"2005/01/01 19:59:59,997","8530,816335071398","1060,399296848018","1055,3592862566943","898,5292169006223","9065,538704093706","2389,37232817659","4608,798536533356","811,516983119624","28420,330687000005"
"2005/01/01 21:00:00","8579,947977407788","1039,0848962387897","1059,275940325717","876,4748551960641","8855,58902106337","2340,4086398486725","4544,323956570497","804,2865633490912","28099,391849999996"
"2005/01/01 22:00:00,003","8361,072795287439","1004,0929513660697","1053,3496863500989","845,226092348639","8487,238253014391","2278,499321977678","4400,213643044524","786,2342746111706","27215,927018000006"
"2005/01/01 22:59:59,997","8123,053709878069","954,0261485271661","1032,1472585003348","803,4840039682639","8115,103707354289","2184,388301008493","4185,60278338876","752,1782653746278","26149,984178"
2005/01/02,"7775,2820999999985","885,46277","1006,97926","748,0245700000002","7475,133899999998","2066,1906","3876,13456","697,9166299999998","24531,12439"
"2005/01/02 01:00:00,003","7400,297114824951","833,5735843985968","960,7143876085548","703,4996935890687","6992,746165628395","1917,0205571720264","3585,665419233774","652,6896465446271","23046,206568999994"
"2005/01/02 01:59:59,997","7127,66244822892","792,5198423947548","947,4029752177331","668,4609972146319","6656,369228361122","1829,0749627471575","3367,23372279174","634,8639320439426","22023,588109000004"
"2005/01/02 03:00:00","6889,068390040485","770,3011992861749","945,2737771432038","652,9957241770709","6453,942362008452","1776,134082144025","3240,4476939342444","628,1008462663465","21356,264074999996"
"2005/01/02 04:00:00,003","6772,824417894751","759,9796311142615","945,0264629321267","645,4597879188002","6347,18718418873","1734,235105626087","3164,0985736891944","624,2035826360565","20993,014746000004"
"2005/01/02 04:59:59,997","6722,208260590996","747,4361353570675","948,987738358944","650,034358618536","6343,796560505211","1730,6460497035323","3133,3373226136023","627,9723582521294","20904,41878400002"
"2005/01/02 06:00:00","6734,443339802369","760,7342163392259","958,3453488910102","663,9825910290451","6426,439750859439","1742,1550533809475","3170,0756613557364","646,9480903422216","21103,124051999996"
"2005/01/02 07:00:00,003","6793,122009211062","784,3558230246895","988,4305574428147","689,3052767306746","6735,375566863687","1784,0953949971756","3280,9495417313287","684,7258709985664","21740,360040999996"
"2005/01/02 07:59:59,997","6792,1361725005845","825,3047480839639","1029,884799508722","730,8811251878192","7142,485056209764","1799,7380223130097","3439,490133355292","724,801480840841","22484,721538"
"2005/01/02 09:00:00","7017,229483554639","886,5040339682068","1034,4221518429486","775,3589684966911","7592,761266287794","1861,725105125232","3634,5282087152746","745,3601570092152","23547,889374999995"
"2005/01/02 10:00:00,003","7372,402546731837","937,1786154866295","1040,641754309081","819,8434611912209","8027,023701282598","1963,5805519801563","3902,942815042378","766,1834669760894","24829,796912999995"
"2005/01/02 10:59:59,997","7663,409642515807","975,3592724714787","1047,2033599668125","848,0007903410875","8405,409414222695","2074,581719559287","4108,388163591622","776,3171453312144","25898,669508"
"2005/01/02 12:00:00","7875,522273804036","1007,0693521478894","1047,6145921477348","866,3739690558399","8578,80801194644","2180,7047809018895","4239,25065047478","778,9883475213759","26574,331977999977"
"2005/01/02 13:00:00,003","7934,519065280122","1033,322575027256","1040,7841096058853","872,4043407205079","8710,174575260105","2264,031007113788","4329,478843062201","779,6996079301294","26964,414123999984"
"2005/01/02 13:59:59,997","7957,8120087895695","1043,2737581560564","1022,0362182237014","865,2487880742169","8665,738193626128","2308,319048950225","4341,724180134078","766,4710630460352","26970,623259000004"
"2005/01/02 15:00:00","7959,071319006178","1045,9417158190236","1000,4215379720916","851,9919312373606","8520,131534077842","2335,132706621213","4327,586592373043","754,2595368932637","26794,53687400002"
"2005/01/02 16:00:00,003","8009,097927887514","1045,0817900485367","991,0102366394664","847,14090613403","8549,574963778257","2348,5635742113527","4299,806742578704","750,8007717221348","26841,076912999997"
"2005/01/02 16:59:59,997","8157,575228772918","1056,2297698556176","997,8009395976948","857,1038240653905","8556,540121888525","2359,0392610972017","4350,817299889776","760,1961938328745","27095,302639000005"
"2005/01/02 18:00:00","8543,65078663794","1121,3020593462497","1026,5418905941408","915,1611962512256","9127,903022499437","2441,4639289084644","4599,155133833335","802,8291499292081","28578,007168"
"2005/01/02 19:00:00,003","8889,048781799125","1201,5945764648889","1071,477589118167","975,6340971307661","9659,1167371938","2615,2639499329","5009,623876570776","858,2586627895819","30280,018271000008"
"2005/01/02 19:59:59,997","8853,261034220468","1177,9685312048375","1076,0048105213211","961,7951120029761","9482,589540280342","2589,3053211539086","4987,388462268219","853,4960233479405","29981,808835000007"
"2005/01/02 21:00:00","8707,177792547056","1140,5960000432203","1066,612308342734","936,2454034360477","9273,593181884324","2545,7112952009516","4880,713524501218","839,5183450444565","29390,16785100001"
"2005/01/02 22:00:00,003","8475,99993517403","1094,7965627904216","1052,2545372559316","898,2320792909235","8891,71535003417","2470,377685423489","4708,047212071968","818,5806649590788","28410,004027000003"
"2005/01/02 22:59:59,997","8168,8607003415955","1040,3891399695399","1021,2357602665126","843,671378573117","8270,652652931165","2335,3043407918276","4423,206707112875","773,6887140133549","26877,009393999982"
2005/01/03,"7812,7476000000015","962,95641","984,35422","771,20331","7525,051800000002","2172,5668","4009,73804","706,6840899999999","24945,30227"
"2005/01/03 01:00:00,003","7411,13185473263","877,7152707305128","944,8979910958856","695,8557765497818","7018,392588891059","1990,806891398558","3692,5052674405074","668,150446161052","23299,456086999995"
"2005/01/03 01:59:59,997","7133,566301287895","838,2839222560431","935,6648668944064","671,7579354467673","6712,047827021135","1899,1380151959925","3514,844873079473","645,6874798182919","22350,991221"
"2005/01/03 03:00:00","6958,69828573364","822,2350825466938","938,502089658947","659,7819654447329","6534,06730694922","1831,1038699213625","3411,1553653984756","637,1593343469269","21792,703299999997"
"2005/01/03 04:00:00,003","6885,204269651118","823,4316322474895","944,229143411743","660,0898152656673","6539,525766236363","1804,1954268236236","3342,329846467324","636,4974398966705","21635,50334"
"2005/01/03 04:59:59,997","6978,735112839175","839,4266240372389","947,7374821183389","672,4432234257805","6701,639342564841","1803,8943277871392","3371,5313759812534","647,6640622462303","21963,071550999997"
"2005/01/03 06:00:00","7380,304854656519","902,3012095317393","981,1977687069565","724,5844812537742","7233,091205048974","1904,4208983122635","3631,2892031381994","690,1966423515772","23447,386263000004"
"2005/01/03 07:00:00,003","7870,379184532725","1030,697551474939","1041,1472394005107","819,5804837187591","8282,347500986301","2084,7351107008176","4126,7203172153","773,6030059706378","26029,210393999983"
"2005/01/03 07:59:59,997","8178,965176138664","1114,314700902519","1094,9071596300948","891,4132194225974","9031,039287316782","2183,4619164888672","4437,488401854515","832,793869245963","27764,383731000005"
"2005/01/03 09:00:00","8332,763226969482","1150,1225868936992","1097,1079873738456","918,6463471705885","9342,267601105248","2225,7982794847812","4552,136166372376","831,9127726299951","28450,754968000023"
"2005/01/03 10:00:00,003","8638,005105168611","1191,1264486499401","1111,5984410899239","963,281845988968","9733,89811416641","2333,0314368459804","4736,64469458479","850,7279885053746","29558,314075"
"2005/01/03 10:59:59,997","8963,650368786013","1233,271228198143","1118,7331339233506","991,0771728186736","10075,773030959925","2435,87891928858","4905,508627397789","867,483238627504","30591,375719999975"
"2005/01/03 12:00:00","9259,790369765313","1272,6539815318888","1116,4422625799764","999,9022138775863","10323,84227009632","2533,6375054822042","5008,213634559676","878,3396081070282","31392,82184599999"
"2005/01/03 13:00:00,003","9476,582271161911","1293,1199166610047","1109,402977403464","997,4275178224617","10408,72928247304","2615,488158210831","5067,904413940905","874,9340763263608","31843,588613999975"
"2005/01/03 13:59:59,997","9619,667738533848","1325,187662945444","1101,1749379662697","1004,0896248230536","10473,934673457348","2689,758299378266","5084,3375037416","871,8469451541885","32169,997386000006"
"2005/01/03 15:00:00","9684,685437317545","1339,8232824022823","1092,0080126924888","1000,0659552880898","10466,447485077788","2730,1737259112015","5090,662476619908","869,2565146906991","32273,12289"
"2005/01/03 16:00:00,003","9710,735729942618","1327,695873037295","1082,59800596165","989,4205857765119","10364,969969633925","2740,2509613563543","5088,204689585776","847,2781307058655","32151,15394599999"
"2005/01/03 16:59:59,997","9624,695571386985","1355,617781167668","1081,7633751784201","980,4553726751536","10212,984828257813","2714,0437080201796","5056,045959557232","825,4672097565326","31851,073805999993"
"2005/01/03 18:00:00","9767,07024211985","1400,9797238779481","1093,5715024539122","1030,5624161383003","10508,284875798476","2741,6545871013873","5202,7371125836","861,9024849265278","32606,762945"
"2005/01/03 19:00:00,003","9988,94733256549","1450,3847934881019","1122,5860660657895","1080,6473134668302","10905,441684392023","2890,5999284356876","5523,062845756504","916,7658378295778","33878,435802"
"2005/01/03 19:59:59,997","9839,528969205681","1426,5667203901676","1112,7074074974748","1067,9275771109951","10703,852493530943","2858,3228267482555","5496,120092001062","912,1227805154326","33417,14886700001"
"2005/01/03 21:00:00","9656,590388075341","1365,9088197341823","1097,466727693365","1030,8245498039148","10305,708185425688","2769,0849719110815","5301,040095117761","898,2097292386462","32424,833466999975"
"2005/01/03 22:00:00,003","9240,418942605102","1311,1618584735822","1071,0728863123031","970,3011497098298","9734,268701810179","2642,5987839328","5014,816979916668","857,7770622395373","30842,41636500001"
"2005/01/03 22:59:59,997","8681,858031485186","1213,6286798553772","1026,20384834352","893,8294454537821","8851,1169176782","2446,4783817350058","4588,413962090675","798,3873463582736","28499,91661300003"
2005/01/04,"8114,5567999999985","1118,91258","983,48508","807,0909000000001","7911,5239999999985","2235,6617","4088,668259999999","725,75753","25985,65685"
"2005/01/04 01:00:00,003","7680,365632127316","1020,2870416882902","949,1395183122435","741,1564854829421","7170,965550486399","2045,4798555655836","3792,362065814404","673,4757915228232","24073,231941"
"2005/01/04 01:59:59,997","7379,939815619344","967,1281439912062","937,377498272995","718,5247975520558","6918,937180487352","1940,7511301289528","3581,575428826366","658,0287311217227","23102,262725999983"
"2005/01/04 03:00:00","7201,280471686209","906,5669310770598","936,2275065747123","712,2229506201295","6782,198628295494","1881,5082558014649","3439,5719367301704","647,6575272147569","22507,234207999994"
"2005/01/04 04:00:00,003","7100,1095122878805","945,9140540666541","942,2001212413148","710,8784241173519","6729,345602275192","1852,9840850810451","3381,2882854606496","649,2001474699108","22311,920232"
"2005/01/04 04:59:59,997","7183,424253798684","921,2322919707823","939,3822978884099","728,9317181952928","6855,886533274032","1856,095773727814","3386,8870593237234","661,7921208212465","22533,63204899998"
"2005/01/04 06:00:00","7598,817966777135","941,1468627170018","976,5505443025648","791,5318567347872","7502,45695074557","1962,4088873500828","3681,0960310940623","707,7380732788006","24161,747173000003"
"2005/01/04 07:00:00,003","8359,876582962675","1090,5142168170062","1056,0391540271983","917,3436247307983","8806,08952897236","2198,1480443996034","4331,177817891782","811,0198621985502","27570,208831999968"
"2005/01/04 07:59:59,997","8695,324257987486","1171,4596830915377","1113,274880816221","990,9048599583911","9522,351669681027","2302,8551711896393","4672,320411188811","874,6235260868793","29343,114459999993"
"2005/01/04 09:00:00","8604,64098425797","1178,6468735325673","1101,3714565678124","984,1702350418858","9595,128154887952","2281,421719829292","4704,493716927056","854,2774369554406","29304,150577999975"
"2005/01/04 10:00:00,003","8875,184660092626","1202,776190930592","1110,1449381899727","1002,2897899956122","9803,80331038068","2341,652249719981","4746,170453438152","853,4258362523907","29935,447428999993"
