Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2006/01/01 01:00:00,003","7623,394894185306","788,305875284044","1026,5590487874404","777,1575352492174","7549,809438166968","1852,4168024699557","3797,223989387676","639,5533704693889","24054,420954"
"2006/01/01 01:59:59,997","7437,102524899476","779,5874416172352","1024,3201683167756","752,171350058097","7291,494704305482","1770,2837855916737","3637,5055351387778","628,0839000724828","23320,54941"
"2006/01/01 03:00:00","7151,481479024469","767,3109848667725","1011,29740562388","725,0287373155651","7012,269705920008","1676,89122994093","3482,207530138742","614,0149311696374","22440,502004000005"
"2006/01/01 04:00:00,003","6957,302785694152","774,6714466897613","1004,0262497222918","711,9683314494264","6896,466664089618","1609,0804962725229","3363,417806834462","611,2273082477719","21928,161089000012"
"2006/01/01 04:59:59,997","6861,596790212363","772,916672580642","1005,1418791495757","708,9330702125159","6810,395548976921","1595,417621030505","3303,547499458419","613,7464343790635","21671,695516000003"
"2006/01/01 06:00:00","6818,035191057889","782,6478675607377","1005,0810601576316","720,7171401630785","6935,340049493399","1579,8028828755803","3298,0189545198073","626,4382841718901","21766,081430000017"
"2006/01/01 07:00:00,003","6801,227424636993","815,314852172936","1020,7564622269076","746,6490205366077","7200,289399655851","1594,7742978163285","3381,332842416276","657,9101435380969","22218,254443"
"2006/01/01 07:59:59,997","6679,26589507276","820,1947731832872","1031,5553954773281","764,8829045089424","7402,805992358199","1568,2968427828262","3428,878657470618","683,5942931460356","22379,474753999995"
"2006/01/01 09:00:00","6871,461246005352","842,7081360991137","1021,5195252941628","788,9343344233394","7678,318333296848","1600,6525482118022","3541,3263623308903","686,5392593385039","23031,459745000004"
"2006/01/01 10:00:00,003","7299,858248366786","885,5702552953027","1039,9999430180665","824,5437510129058","8046,040904573426","1709,890776485527","3784,2261157124008","703,4880675355711","24293,618061999983"
