Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2008/01/01 01:00:00,003","7582,426274572482","1137,19727799018","1289,7415907424047","1120,5912453827539","10782,487804387081","1894,92094326094","4857,044339728155","932,2515059359895","29596,66098199999"
"2008/01/01 01:59:59,997","7483,387276507921","1129,3124288294484","1320,5497197170164","1130,1639195602493","10873,001190141018","1826,0891939263313","4867,512566845335","939,9582554726678","29569,974550999992"
"2008/01/01 03:00:00","7381,744777817935","1155,484646622458","1328,44207888425","1129,355055912608","10952,63748133299","1832,8838266010837","4849,639885045106","951,3221177835702","29581,50987"
"2008/01/01 04:00:00,003","7452,871868400429","1209,918355352547","1344,322369303129","1148,9198044811799","11104,178757502768","1819,248340005364","4858,047321392097","967,4504875624687","29904,957303999978"
"2008/01/01 04:59:59,997","7530,35401709699","1265,055389088752","1355,020034529657","1171,2678388393763","11369,935035805993","1834,777368941482","4962,3455588878","996,0552058099398","30484,810448999993"
"2008/01/01 06:00:00","7829,4999539416895","1316,5997555268184","1356,7860248134402","1224,5348744879363","11825,918009807998","1896,033093199375","5166,539605109186","1035,225011113541","31651,136327999975"
"2008/01/01 07:00:00,003","7947,041845344125","1382,1228455341923","1339,716916401165","1253,0300851370164","12401,071493203472","1968,0427563589064","5402,146435631775","1070,663101389342","32763,83547899999"
"2008/01/01 07:59:59,997","7960,13279391898","1373,939793250773","1341,8634245625508","1281,9257758304188","12581,500078199508","2058,3994535818665","5558,364102231753","1107,906232424168","33264,03165400002"
"2008/01/01 09:00:00","8019,170889118425","1422,4139030363524","1370,7624417651955","1297,6405652565816","12530,39860363619","2135,0011021322503","5632,833876101532","1123,2408719534649","33531,46225299999"
"2008/01/01 10:00:00,003","8275,11830224009","1419,0663696764864","1367,4664732760937","1307,446519884924","12251,53808901229","2310,117984077917","5675,5779403529295","1094,8389804792603","33701,17065899999"
"2008/01/01 10:59:59,997","8477,308583757842","1350,2351705796243","1360,9723771706008","1262,1914460196551","12023,95691153755","2319,342107166618","5667,1884857222385","1057,123363045889","33518,31844500002"
"2008/01/01 12:00:00","8609,113688010519","1245,0136225794847","1341,630034896","1226,893471515741","11678,166987810197","2266,065958834125","5578,885650125769","1016,1959352281506","32961,96534899998"
"2008/01/01 13:00:00,003","8483,177094523457","1192,7086453487411","1321,06706475791","1184,8764646644547","11209,546886550039","2191,7044956842255","5403,790493709305","960,081935761865","31946,953080999992"
"2008/01/01 13:59:59,997","8399,459994358009","1140,6310204947424","1273,6185440198062","1135,750988816799","10737,073532565528","2113,966998920141","5184,879104126001","913,1282256989617","30898,50840899999"
"2008/01/01 15:00:00","8420,21171870014","1115,8630363030702","1238,221988730418","1091,7535674618512","10291,728064845298","2050,2824500316387","5013,903886461395","874,9175574661939","30096,88227000001"
"2008/01/01 16:00:00,003","8385,084117165476","1094,8972111897529","1205,420228261668","1047,6118573214935","10064,320919080235","2065,841549888097","4921,589633385804","865,6265757074985","29650,39209200001"
"2008/01/01 16:59:59,997","8491,72893340716","1121,4659260015765","1206,242685400263","1060,971541694281","10203,16989331186","2157,201306219345","4969,976489489222","869,8316184762601","30080,58839399996"
"2008/01/01 18:00:00","9012,678143451401","1252,0398397542763","1246,847807381053","1193,419553592344","11350,056103110095","2269,76282997464","5406,757617411391","943,4476583247782","32675,009552999967"
"2008/01/01 19:00:00,003","9525,867969836672","1417,5146841427124","1328,6329122690238","1316,098147966052","12801,799863429544","2477,5180373326407","6126,502188935631","1042,5365950877415","36036,470399000005"
"2008/01/01 19:59:59,997","9582,557944963357","1495,56710088793","1382,2204461956271","1338,7129693267057","13068,821302008771","2553,692971262123","6325,326474440149","1085,9758139153084","36832,87502299997"
"2008/01/01 21:00:00","9602,36886904911","1526,1042216453536","1402,1439549949062","1362,228002128424","13203,476272409329","2552,659109407944","6438,244957448914","1095,9791059160368","37183,204493000005"
"2008/01/01 22:00:00,003","9297,58987980855","1530,4608153909203","1426,025321114748","1363,1849604328577","13170,94299887283","2513,4176495052143","6404,9392656183845","1114,5102692564726","36821,07115999999"
"2008/01/01 22:59:59,997","9095,83639187055","1470,8176131686453","1396,4093298793232","1313,317281394597","12671,336559137815","2374,074257971046","6175,815759682481","1094,6774818955157","35592,28467499997"
2008/01/02,"8650,1947","1447,5372200000004","1388,85777","1268,0951600000003","12289,3475","2208,8544","5918,71009","1068,4880499999997","34240,08489"
"2008/01/02 01:00:00,003","8603,3189733853","1330,1920843837977","1314,4000606211196","1229,4178213611378","11926,669321356656","2212,201403670678","5774,339560186985","1034,229015034307","33424,76823999997"
"2008/01/02 01:59:59,997","8493,149888217938","1354,6949041401092","1316,3446883714257","1237,8290985912924","11922,154951445273","2181,320906920359","5761,038745920441","1058,8494323931443","33325,382615999995"
"2008/01/02 03:00:00","8414,173150652407","1364,1980231136415","1330,9896745636702","1257,12152252242","12129,202925685084","2193,5162044093013","5837,2402006733455","1091,9195543801231","33618,36125599999"
"2008/01/02 04:00:00,003","8499,189580833923","1379,8182120186805","1343,4360264623783","1285,459907537981","12524,657081329464","2166,7028872709097","5976,702393903215","1130,0400516434217","34306,006140999976"
"2008/01/02 04:59:59,997","8816,60221256868","1468,936724447267","1360,8215740476417","1316,0804454781116","12947,127207480196","2294,040217869192","6254,92283274708","1168,1649573618224","35626,696171999974"
"2008/01/02 06:00:00","9501,45067274964","1570,6358647669924","1382,731410444703","1414,434551619181","13908,51083219717","2485,978466417838","6772,485396282988","1236,664578521488","38272,891773"
"2008/01/02 07:00:00,003","10279,136861183368","1747,947347131759","1401,4045201336564","1554,0226829920875","15323,589476184772","2727,826091373013","7456,799757502489","1318,4848574988298","41809,21159399997"
"2008/01/02 07:59:59,997","10587,945759129689","1827,2851862037353","1454,2159783145116","1584,134554018953","16198,873693649179","2787,4085612626113","7789,95436314381","1398,8665012775132","43628,68459700001"
"2008/01/02 09:00:00","10810,987393491638","1751,2913667878047","1432,665900288412","1557,2049209268039","15754,380475863722","2793,7338664787703","7590,830580602912","1366,4403135599769","43057,53481800005"
"2008/01/02 10:00:00,003","10894,863917970612","1734,588767173376","1418,043140073981","1488,0665716575636","15090,94467491262","2740,5819421650904","7194,470361563494","1283,8277014832763","41845,387077"
"2008/01/02 10:59:59,997","10851,48501821991","1696,3965553382347","1407,5562487952877","1427,348774520296","14560,584501907846","2658,3336695397975","6847,708705729909","1200,235824948718","40649,649299"
"2008/01/02 12:00:00","10737,259860059585","1629,4009886738713","1397,1540596940815","1361,2939486509783","13854,085004318127","2596,1576475206202","6524,1946313223025","1132,031894760441","39231,578035"
"2008/01/02 13:00:00,003","10452,890752905276","1514,03427129775","1347,3831248672236","1292,3745400824575","13286,889749518055","2491,2430894678755","6233,207270635874","1074,69071222548","37692,713510999994"
"2008/01/02 13:59:59,997","10417,783672779986","1518,6046866064921","1312,166947304713","1243,8103413180172","12696,71060059929","2344,958529015936","5996,885989919374","1021,4652284561682","36552,385995999975"
"2008/01/02 15:00:00","10039,550783673621","1475,779187185295","1276,457153855572","1204,4089171633664","12313,30076841921","2354,8792480369434","5796,393572912352","984,5399707536623","35445,30960200003"
"2008/01/02 16:00:00,003","10087,632792294098","1482,32812785761","1261,9386621018905","1190,6912045442325","12131,694734062345","2302,234286150367","5758,280518758402","966,5829162310492","35181,383242"
"2008/01/02 16:59:59,997","10184,265854920262","1541,3335604341562","1281,6680343132855","1220,645312871932","12446,693656576348","2324,407861021292","5815,396049130091","981,1994957326142","35795,60982499999"
"2008/01/02 18:00:00","10872,653206516788","1667,553716543334","1340,6196818206422","1362,2117097800517","13609,846736021284","2440,8143780413843","6291,719273598478","1055,2539806780353","38640,67268299999"
"2008/01/02 19:00:00,003","11655,35808595952","1804,8952252358397","1419,9258791124637","1484,4427553440703","14838,556658788028","2753,0697213393996","7155,801013763211","1165,3996624574759","42277,44900200002"
"2008/01/02 19:59:59,997","11631,65875577042","1806,8201898446505","1443,6054925635644","1506,9471748069575","15078,369618203065","2817,807686731718","7392,907774100392","1186,7023699792585","42864,81906200003"
"2008/01/02 21:00:00","11405,00279568783","1814,3710291801096","1458,9398982666496","1538,3294549350796","15171,779274527724","2867,7014837549254","7474,145103805921","1185,8273418417411","42916,09638199999"
"2008/01/02 22:00:00,003","11088,702496138994","1794,5791065390713","1428,5027000633847","1496,776954954274","14853,751947996989","2818,2400787402844","7335,951679565264","1164,6446980017536","41981,14966200001"
"2008/01/02 22:59:59,997","10692,438513050218","1755,427970465832","1387,5767666707202","1431,7344264548503","13985,165135396484","2764,9099945063713","6979,219140703296","1133,589466752233","40130,06141400001"
2008/01/03,"10234,878799999999","1674,02138","1338,49096","1342,6962399999998","13255,417000000001","2620,2494000000006","6545,44508","1079,61051","38090,80937"
"2008/01/03 01:00:00,003","9679,13936364489","1662,878785095865","1318,0404567776416","1323,241468558169","12999,23200799193","2505,3768989162672","6302,00945267866","1036,6247951621529","36826,543228825576"
"2008/01/03 01:59:59,997","9549,603747869764","1668,376579153566","1298,8830667957873","1320,4086958210971","12849,90664774111","2462,240212557283","6221,317715942986","1039,2930111183853","36410,02967699999"
"2008/01/03 03:00:00","9467,957900513344","1693,705325588298","1300,1854546236677","1333,778636679792","12961,302414274303","2445,2069493188474","6243,916770734178","1044,297108267525","36490,350559999955"
"2008/01/03 04:00:00,003","9561,384133313248","1695,2040960390627","1306,5748584117352","1353,144154783406","13175,64204671155","2439,8584755364745","6332,3985165744","1056,618981630109","36920,82526299999"
"2008/01/03 04:59:59,997","9908,948516825312","1750,784868862543","1317,8372371789676","1384,2612553760096","13480,06686114058","2577,543906141761","6543,450186744218","1074,8210307306063","38037,71386299999"
"2008/01/03 06:00:00","10654,627691030602","1854,006993545025","1364,9628002000527","1464,9608452277812","14354,136752699183","2784,790553120492","7037,267865494529","1128,5612676823253","40643,31476899999"
"2008/01/03 07:00:00,003","11467,75366144419","1951,9583427783512","1396,6994841189864","1596,75705408359","15695,06091906418","3046,9947713257975","7736,967014975405","1194,268498209497","44086,45974599999"
"2008/01/03 07:59:59,997","11676,769677419124","1980,6053731039249","1424,3923546276121","1600,188857451138","16358,662117411805","3080,289564077102","8036,943621812506","1253,462816096781","45411,314382"
"2008/01/03 09:00:00","11806,275524251489","1901,0030071769925","1405,4143256376683","1584,3848600527856","16068,413794944589","3042,916948407012","7899,221069080371","1244,0915954490945","44951,72112500001"
