Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2013/01/01 01:00:00,003","7607,1898711000995","1074,0242845500889","1411,823158897756","763,0692419166461","10370,322921038956","2206,9458024990276","4368,52868665398","883,0295003434512","28684,933467000003"
"2013/01/01 01:59:59,997","7389,267519322573","1035,1891801430247","1403,6010926983663","754,4259858700487","10153,94280636424","2160,0821973947964","4233,635250127602","872,532258079347","28002,67629"
"2013/01/01 03:00:00","7179,748411069653","1036,216739397305","1395,1312126407752","746,2155149192632","9989,2435320273","2065,369912714212","4082,897706597618","868,9513336338906","27363,774363000015"
"2013/01/01 04:00:00,003","7039,692524491255","1032,7774387231382","1395,5930119029451","749,028765570056","9947,85551176125","1991,1516516862432","4010,524187288544","865,799031576565","27032,422122999997"
"2013/01/01 04:59:59,997","6991,412763983234","1042,9064430700732","1401,2395287773397","757,148202736023","10097,44423373141","1954,9639421087124","4038,6784949096304","879,9880536835752","27163,781662999994"
"2013/01/01 06:00:00","7050,7307758877105","1069,2872471078483","1419,5604173915087","777,767274430109","10472,126361176439","1962,0755155898876","4174,051823212941","911,221606203531","27836,821020999974"
"2013/01/01 07:00:00,003","7177,78718496996","1109,1444138989118","1444,4334926837562","793,0979399348334","10891,217899797784","1994,5086083515448","4360,9861315483395","950,8087568148787","28721,984428000003"
"2013/01/01 07:59:59,997","7223,212565001822","1148,8011004614723","1463,2068055312004","812,597632860241","11190,2040271848","2041,9737527963289","4522,131023928985","989,594398235135","29391,721305999992"
"2013/01/01 09:00:00","7314,252182382099","1196,9789195395867","1474,815212586919","839,6314297141192","11627,127376510152","2131,511807982963","4688,329319846949","1021,1318564372402","30293,77810500003"
"2013/01/01 10:00:00,003","7676,346694894456","1235,794003004588","1500,7688517454817","869,1221223253475","12310,00186973318","2249,8202652130426","4992,417191500828","1048,011112583055","31882,282110999968"
"2013/01/01 10:59:59,997","8060,50102551402","1304,764605897939","1507,661157164136","892,00205915771","12934,075317694718","2341,6226649269697","5270,257550707703","1048,630791936781","33359,51517299999"
"2013/01/01 12:00:00","8392,923703214909","1342,00612867297","1489,8951925144122","903,3687177594787","13200,664504256836","2390,5685184135555","5427,140276753522","1040,218477414314","34186,785519"
"2013/01/01 13:00:00,003","8509,461535501785","1328,5366040252056","1467,307813068551","894,4005878034619","13062,536854901984","2419,731040282436","5449,879563469429","1023,2682119471264","34155,12221099997"
"2013/01/01 13:59:59,997","8498,665899558318","1319,998690513296","1439,3493132125443","880,9760702228868","12851,46507460103","2392,344954357934","5401,362451501246","996,9133760327549","33781,07583000001"
"2013/01/01 15:00:00","8467,19662931835","1296,7616830194263","1419,860015478158","869,5997399866686","12725,037474783278","2359,4752520475204","5287,741470070356","974,9668732962538","33400,639138000006"
"2013/01/01 16:00:00,003","8432,133049212254","1298,392568145714","1410,824129435066","869,3185677920387","12610,80174498031","2359,597686521266","5225,748023995103","964,9879019182538","33171,80367200001"
"2013/01/01 16:59:59,997","8560,672822410908","1320,870429939975","1424,6404001449348","885,8728958166201","13028,354743423022","2374,113769632857","5319,876670780097","987,9377448515548","33902,339476999965"
"2013/01/01 18:00:00","9095,08014653997","1420,4901834338361","1467,5125629866495","930,9992691966262","14090,352500353238","2494,6365599652504","5756,948722069236","1051,8653574552025","36307,885302"
"2013/01/01 19:00:00,003","9540,826924153731","1482,3230307108372","1544,0725945186691","959,8182871462127","14739,424210162317","2733,2257657288833","6294,057821676485","1128,7594729028342","38422,50810699997"
"2013/01/01 19:59:59,997","9560,571442170116","1482,523652481535","1566,7888546584595","957,5610398635422","14705,872402498117","2756,169225647852","6349,652343073999","1141,4328006064184","38520,57176100002"
"2013/01/01 21:00:00","9505,851316136828","1467,1272647186795","1573,59246821111","949,9436671953088","14586,57845193176","2739,291561516754","6322,917246615434","1143,292963674096","38288,594939999966"
"2013/01/01 22:00:00,003","9329,399002052185","1383,6757932340597","1564,5556010351088","927,6730504402333","14241,810027906497","2667,923749412465","6196,383931038056","1126,6310228813695","37438,05217799997"
"2013/01/01 22:59:59,997","8959,446357172326","1350,5688213167125","1535,7392256305804","888,1615487068531","13608,582933856816","2550,320046249414","5920,128957492337","1092,9476305749547","35905,89552099999"
2013/01/02,"8508,3459","1321,4616099999998","1502,46674","853,5478100000001","12948,2852","2402,0728","5616,166499999999","1056,7721","34209,11866000001"
"2013/01/02 01:00:00,003","8101,334344529821","1272,4563253169297","1519,485082961993","826,3579265360414","12449,979538844436","2364,069792977038","5430,229979224063","1032,113285609676","32996,02627600001"
"2013/01/02 01:59:59,997","7937,637950594008","1254,335866878908","1515,9752948326636","824,3546708158069","12284,48574403833","2279,3485948720777","5377,404342272181","1032,716787696026","32506,259252000007"
"2013/01/02 03:00:00","7905,199895362342","1254,0641236117278","1520,9440666224361","834,6423736991815","12298,277512991484","2242,6952436682623","5398,665382724913","1041,8958963196749","32496,384495000024"
"2013/01/02 04:00:00,003","7980,712429732482","1274,4664289215316","1535,4596169301756","846,1519898007417","12526,19898663547","2236,5991003587765","5514,710939784944","1062,853380835891","32977,15287300001"
"2013/01/02 04:59:59,997","8237,676497280225","1313,5552323555955","1550,4033368427222","866,8352252777285","13060,336602847008","2321,127624856457","5759,729245928225","1097,3783086120136","34207,04207399999"
